,Car_Name,Brand_Name,Engine Capacity,Category,Body Condition,model Year,Milage,Fuel Type,Transmission,Color,City Registered,Price
12049,Cultus,Suzuki,1000,Hatchback,Good,2021,38000,Petrol,Manual,White,Punjab,33.85
12050,Cultus,Suzuki,1000,Hatchback,Excellent,2007,34420,Petrol,Manual,Blue,Sindh,7.9
12051,Cultus,Suzuki,1000,Hatchback,Fair,2008,20000,Petrol,Manual,Graphite Grey,Sindh,9.5
12052,Cultus,Suzuki,1000,Hatchback,Excellent,2008,66500,Petrol,Manual,Pearl Red,Punjab,10.5
12053,Cultus,Suzuki,1000,Hatchback,Poor,2011,56000,Petrol,Manual,Solid White,Rawalpindi,14.35
12054,Cultus,Suzuki,1000,Hatchback,Fair,2021,55000,Petrol,Manual,Maroon,Karachi,28.0
12055,Cultus,Suzuki,1000,Hatchback,Fair,2013,922000,Petrol,Manual,Graphite Grey,Islamabad,17.5
12056,Cultus,Suzuki,1000,Hatchback,Excellent,2007,38,Petrol,Manual,Blue,Karachi,8.95
12057,Cultus,Suzuki,1000,Hatchback,Fair,2018,158000,Petrol,Manual,Silky Silver,Punjab,23.75
12058,Cultus,Suzuki,1000,Hatchback,Excellent,2006,50000,Petrol,Manual,White,Islamabad,9.3
12059,Cultus,Suzuki,1000,Hatchback,Good,2012,57000,Petrol,Manual,Grey,Lahore,13.5
12060,Cultus,Suzuki,1000,Hatchback,Fair,2010,8078,Petrol,Manual,Graphite Grey,Lahore,13.5
12061,Cultus,Suzuki,1000,Hatchback,Good,2020,31000,Petrol,Automatic,Silver,Karachi,32.75
12062,Cultus,Suzuki,1000,Hatchback,Excellent,2022,40000,Petrol,Manual,White,Punjab,37.5
12063,Cultus,Suzuki,1000,Hatchback,Excellent,2023,19000,Petrol,Manual,White,Lahore,34.5
12064,Cultus,Suzuki,1000,Hatchback,Good,2019,76000,Petrol,Manual,White,Lahore,27.5
12065,Cultus,Suzuki,1000,Hatchback,Good,2016,100000,Petrol,Manual,Graphite Grey,Lahore,16.5
12066,Cultus,Suzuki,1000,Hatchback,Excellent,2017,95000,Petrol,Manual,White,Islamabad,25.75
12067,Cultus,Suzuki,1000,Hatchback,Excellent,2021,47000,Petrol,Manual,White,Punjab,34.5
12068,Cultus,Suzuki,1000,Hatchback,Excellent,2014,90000,Petrol,Manual,Green,Sindh,12.4
12069,Cultus,Suzuki,1000,Hatchback,Good,2017,85000,Petrol,Manual,White,Lahore,16.8
12070,Cultus,Suzuki,1000,Hatchback,Good,2021,24300,Petrol,Automatic,White,Islamabad,38.0
12071,Cultus,Suzuki,1000,Hatchback,Good,2001,12345,Petrol,Manual,Silver,Karachi,6.3
12072,Cultus,Suzuki,1000,Hatchback,Excellent,2019,72000,Petrol,Manual,Graphite Grey,Lahore,27.8
12073,Cultus,Suzuki,1000,Hatchback,Excellent,2016,55000,Petrol,Manual,Solid White,Islamabad,18.5
12074,Cultus,Suzuki,1000,Hatchback,Excellent,2006,46000,Petrol,Manual,White,Lahore,9.0
12075,Cultus,Suzuki,1000,Hatchback,Excellent,2020,71000,Petrol,Manual,Silver,Punjab,29.5
12076,Cultus,Suzuki,1000,Hatchback,Excellent,2022,7000,Petrol,Manual,White,Islamabad,36.5
12077,Cultus,Suzuki,1000,Hatchback,Excellent,2004,148000,Petrol,Manual,White,Lahore,6.45
12078,Cultus,Suzuki,1000,Hatchback,Fair,2000,99999,Petrol,Manual,Turquoise,Lahore,6.6
12079,Cultus,Suzuki,1000,Hatchback,Excellent,2011,12345,Petrol,Manual,Blue,Faisalabad,11.6
12080,Cultus,Suzuki,1000,Hatchback,Fair,2018,62500,Petrol,Manual,Graphite Grey,Sindh,23.85
12081,Cultus,Suzuki,1000,Hatchback,Good,2021,16000,Petrol,Manual,Black,Karachi,31.8
12082,Cultus,Suzuki,1000,Hatchback,Excellent,2012,89128,Petrol,Manual,Graphite Grey,Karachi,12.0
12083,Cultus,Suzuki,1000,Hatchback,Very Poor,2017,58000,Petrol,Manual,White,Lahore,17.45
12084,Cultus,Suzuki,1000,Hatchback,Excellent,2019,105000,Petrol,Manual,Indigo,Islamabad,28.5
12085,Cultus,Suzuki,1000,Hatchback,Excellent,2007,850,Petrol,Manual,Blue,Lahore,8.5
